"CleanupSiteID","FacilitySiteID","SiteName","AlternateSiteNames","SiteStatus","Address","City","ZipCode","County","Region","ResponsibleUnit","Latitude","Longitude","Acreage","PublicFundingAmount","PrivateFundingAmount","PublicRedevelopmentPercent","PrivateRedevelopmentPercent","HabitatRestoration","ContaminantName","GroundWater","SurfaceWater","Soil","Sediment","Air","Bedrock"
"11314","98555585","KENNEWICK CITY OF MAINTENANCE DEPT","Kennewick City,KENNEWICK CITY CORPORATION YRD","NFA","414 10TH AVE","KENNEWICK","99336","Benton","Central","Central","46.19798","-119.10914","10","$200,000.00","","","","False","Petroleum-Diesel","","","Confirmed Above Cleanup Levels","","",""
"11314","98555585","KENNEWICK CITY OF MAINTENANCE DEPT","Kennewick City,KENNEWICK CITY CORPORATION YRD","NFA","414 10TH AVE","KENNEWICK","99336","Benton","Central","Central","46.19798","-119.10914","10","$200,000.00","","","","False","Petroleum-Gasoline","","","Confirmed Above Cleanup Levels","","",""
"4085","343","Wenatchee City Worthen St Landfill","","Cleanup Started","WORTHEN ST","WENATCHEE","98801","Chelan","Central","Central","47.42485","-120.30775","3.3","$150,000.00","","","","False","Arsenic","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels","","",""
"4085","343","Wenatchee City Worthen St Landfill","","Cleanup Started","WORTHEN ST","WENATCHEE","98801","Chelan","Central","Central","47.42485","-120.30775","3.3","$150,000.00","","","","False","Dioxin/Dibenzofuran Compounds","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels","","",""
"4085","343","Wenatchee City Worthen St Landfill","","Cleanup Started","WORTHEN ST","WENATCHEE","98801","Chelan","Central","Central","47.42485","-120.30775","3.3","$150,000.00","","","","False","Halogenated Organics","Confirmed Above Cleanup Levels","Suspected","","","",""
"4085","343","Wenatchee City Worthen St Landfill","","Cleanup Started","WORTHEN ST","WENATCHEE","98801","Chelan","Central","Central","47.42485","-120.30775","3.3","$150,000.00","","","","False","Halogenated Pesticides","","","Confirmed Above Cleanup Levels","","",""
"4085","343","Wenatchee City Worthen St Landfill","","Cleanup Started","WORTHEN ST","WENATCHEE","98801","Chelan","Central","Central","47.42485","-120.30775","3.3","$150,000.00","","","","False","Lead","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels","","",""
"4085","343","Wenatchee City Worthen St Landfill","","Cleanup Started","WORTHEN ST","WENATCHEE","98801","Chelan","Central","Central","47.42485","-120.30775","3.3","$150,000.00","","","","False","Mercury","","","Below Cleanup Levels","","",""
"4085","343","Wenatchee City Worthen St Landfill","","Cleanup Started","WORTHEN ST","WENATCHEE","98801","Chelan","Central","Central","47.42485","-120.30775","3.3","$150,000.00","","","","False","Metals - Other","","","Confirmed Above Cleanup Levels","","",""
"4085","343","Wenatchee City Worthen St Landfill","","Cleanup Started","WORTHEN ST","WENATCHEE","98801","Chelan","Central","Central","47.42485","-120.30775","3.3","$150,000.00","","","","False","Metals Priority Pollutants","Confirmed Above Cleanup Levels","Suspected","","","",""
"4085","343","Wenatchee City Worthen St Landfill","","Cleanup Started","WORTHEN ST","WENATCHEE","98801","Chelan","Central","Central","47.42485","-120.30775","3.3","$150,000.00","","","","False","Petroleum-Diesel","Confirmed Above Cleanup Levels","","","","",""
"4085","343","Wenatchee City Worthen St Landfill","","Cleanup Started","WORTHEN ST","WENATCHEE","98801","Chelan","Central","Central","47.42485","-120.30775","3.3","$150,000.00","","","","False","Petroleum-Other","Confirmed Above Cleanup Levels","","","","",""
"4085","343","Wenatchee City Worthen St Landfill","","Cleanup Started","WORTHEN ST","WENATCHEE","98801","Chelan","Central","Central","47.42485","-120.30775","3.3","$150,000.00","","","","False","Polychlorinated biPhenyls (PCB)","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels","","",""
"4085","343","Wenatchee City Worthen St Landfill","","Cleanup Started","WORTHEN ST","WENATCHEE","98801","Chelan","Central","Central","47.42485","-120.30775","3.3","$150,000.00","","","","False","Polycyclic Aromatic Hydrocarbons","","","Confirmed Above Cleanup Levels","","",""
"11323","98691464","Wenatchee City Public Works","25 N Worthen Rem & the Chrysalis Inn&Spa,Hilton Garden Inn Wenatchee,WENATCHEE CITY OF PUBLIC WORKS,Wenatchee City Public Works Dept","NFA","25 N WORTHEN ST","WENATCHEE","98807","Chelan","Central","Central","47.4266740781859","-120.308441418074","3","$150,000.00","","","100","False","Arsenic","","","Remediated-Above","","",""
"11323","98691464","Wenatchee City Public Works","25 N Worthen Rem & the Chrysalis Inn&Spa,Hilton Garden Inn Wenatchee,WENATCHEE CITY OF PUBLIC WORKS,Wenatchee City Public Works Dept","NFA","25 N WORTHEN ST","WENATCHEE","98807","Chelan","Central","Central","47.4266740781859","-120.308441418074","3","$150,000.00","","","100","False","Lead","","","Remediated-Above","","",""
"11323","98691464","Wenatchee City Public Works","25 N Worthen Rem & the Chrysalis Inn&Spa,Hilton Garden Inn Wenatchee,WENATCHEE CITY OF PUBLIC WORKS,Wenatchee City Public Works Dept","NFA","25 N WORTHEN ST","WENATCHEE","98807","Chelan","Central","Central","47.4266740781859","-120.308441418074","3","$150,000.00","","","100","False","Petroleum-Diesel","","","Remediated-Above","","",""
"11323","98691464","Wenatchee City Public Works","25 N Worthen Rem & the Chrysalis Inn&Spa,Hilton Garden Inn Wenatchee,WENATCHEE CITY OF PUBLIC WORKS,Wenatchee City Public Works Dept","NFA","25 N WORTHEN ST","WENATCHEE","98807","Chelan","Central","Central","47.4266740781859","-120.308441418074","3","$150,000.00","","","100","False","Polycyclic Aromatic Hydrocarbons","","","Remediated-Above","","",""
"11610","22496","Gold Knob Prospects","Saddle Rock Park","Cleanup Started","Circle St and Dry Gulch Rd","Wenatchee","98801","Chelan","Central","Central","47.399777261877","-120.339310728811","30","$200,000.00","","","","False","Arsenic","","","Confirmed Above Cleanup Levels","","",""
"988","3612707","Wertz and Weeks Properties","Wertz & Weeks Properties,WERTZ PROPERTY","Awaiting Cleanup","PIONEER ST & 3RD","RIDGEFIELD","98634","Clark","Southwest","Southwest","45.815223","-122.745226","0.3","$71,500.00","","","","False","Benzene","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels",""
"988","3612707","Wertz and Weeks Properties","Wertz & Weeks Properties,WERTZ PROPERTY","Awaiting Cleanup","PIONEER ST & 3RD","RIDGEFIELD","98634","Clark","Southwest","Southwest","45.815223","-122.745226","0.3","$71,500.00","","","","False","Lead","","","Below Cleanup Levels","","",""
"988","3612707","Wertz and Weeks Properties","Wertz & Weeks Properties,WERTZ PROPERTY","Awaiting Cleanup","PIONEER ST & 3RD","RIDGEFIELD","98634","Clark","Southwest","Southwest","45.815223","-122.745226","0.3","$71,500.00","","","","False","Petroleum-Diesel","","","Below Cleanup Levels","","",""
"988","3612707","Wertz and Weeks Properties","Wertz & Weeks Properties,WERTZ PROPERTY","Awaiting Cleanup","PIONEER ST & 3RD","RIDGEFIELD","98634","Clark","Southwest","Southwest","45.815223","-122.745226","0.3","$71,500.00","","","","False","Petroleum-Gasoline","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels","","Suspected",""
"988","3612707","Wertz and Weeks Properties","Wertz & Weeks Properties,WERTZ PROPERTY","Awaiting Cleanup","PIONEER ST & 3RD","RIDGEFIELD","98634","Clark","Southwest","Southwest","45.815223","-122.745226","0.3","$71,500.00","","","","False","Petroleum-Other","","","Below Cleanup Levels","","",""
"2482","4399598","HAMBLETON BROS LOG YARD","HAMBLETON LOG POND","NFA","335 S A ST","WASHOUGAL","98671","Clark","Southwest","Southwest","45.578889","-122.376111","71","$200,000.00","","","","False","Metals Priority Pollutants","Below Cleanup Levels","Remediated-Below","Remediated-Above","","",""
"2482","4399598","HAMBLETON BROS LOG YARD","HAMBLETON LOG POND","NFA","335 S A ST","WASHOUGAL","98671","Clark","Southwest","Southwest","45.578889","-122.376111","71","$200,000.00","","","","False","Petroleum Products-Unspecified","","Remediated-Below","Remediated-Above","","",""
"2482","4399598","HAMBLETON BROS LOG YARD","HAMBLETON LOG POND","NFA","335 S A ST","WASHOUGAL","98671","Clark","Southwest","Southwest","45.578889","-122.376111","71","$200,000.00","","","","False","Petroleum-Diesel","Remediated-Above","","Remediated-Above","","",""
"2482","4399598","HAMBLETON BROS LOG YARD","HAMBLETON LOG POND","NFA","335 S A ST","WASHOUGAL","98671","Clark","Southwest","Southwest","45.578889","-122.376111","71","$200,000.00","","","","False","Petroleum-Other","","","Remediated-Above","","",""
"2482","4399598","HAMBLETON BROS LOG YARD","HAMBLETON LOG POND","NFA","335 S A ST","WASHOUGAL","98671","Clark","Southwest","Southwest","45.578889","-122.376111","71","$200,000.00","","","","False","Phenolic Compounds","","Remediated-Below","","","",""
"2482","4399598","HAMBLETON BROS LOG YARD","HAMBLETON LOG POND","NFA","335 S A ST","WASHOUGAL","98671","Clark","Southwest","Southwest","45.578889","-122.376111","71","$200,000.00","","","","False","Polychlorinated biPhenyls (PCB)","","","Remediated-Above","","",""
"2482","4399598","HAMBLETON BROS LOG YARD","HAMBLETON LOG POND","NFA","335 S A ST","WASHOUGAL","98671","Clark","Southwest","Southwest","45.578889","-122.376111","71","$200,000.00","","","","False","Polycyclic Aromatic Hydrocarbons","","Remediated-Below","Remediated-Above","","",""
"2827","20708","FLEISCHER PROPERTY","","Cleanup Started","9109 NE 94TH AVE","VANCOUVER","98662","Clark","Southwest","Southwest","45.6884788235679","-122.573556012835","9.6","$200,000.00","","","","False","Polychlorinated biPhenyls (PCB)","","","Confirmed Above Cleanup Levels","","",""
"4099","8100630","PARK LAUNDRY SITE","","Cleanup Started","122 N MAIN AVE","RIDGEFIELD","98642","Clark","Southwest","Southwest","45.816111","-122.745833","0.6","$57,000.00","","","","False","Halogenated Organics","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels","","",""
"4099","8100630","PARK LAUNDRY SITE","","Cleanup Started","122 N MAIN AVE","RIDGEFIELD","98642","Clark","Southwest","Southwest","45.816111","-122.745833","0.6","$57,000.00","","","","False","Other Halogenated Organics","Confirmed Above Cleanup Levels","","Suspected","","",""
"13031","16992216","Ridgefield School District Bus Barn","RIDGEFIELD SCHOOL DISTRICT #122,RIDGEFIELD SCHOOL DISTRICT 122 UST 11081","Awaiting Cleanup","304 PIONEER AVE","RIDGEFIELD","98642","Clark","Southwest","Southwest","45.8157965069185","-122.745006441678","0.26","$71,500.00","","","","False","Petroleum-Diesel","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels","","",""
"13031","16992216","Ridgefield School District Bus Barn","RIDGEFIELD SCHOOL DISTRICT #122,RIDGEFIELD SCHOOL DISTRICT 122 UST 11081","Awaiting Cleanup","304 PIONEER AVE","RIDGEFIELD","98642","Clark","Southwest","Southwest","45.8157965069185","-122.745006441678","0.26","$71,500.00","","","","False","Petroleum-Gasoline","","","Confirmed Above Cleanup Levels","","",""
"3111","74599527","TERRYS SALVAGE","Terrys Salvage & Auto","NFA","1124 N PACIFIC AVE","KELSO","98626","Cowlitz","Southwest","Southwest","46.15289","-122.91011","0.5","$198,695.00","","","","False","Arsenic","","","Remediated-Below","","",""
"3111","74599527","TERRYS SALVAGE","Terrys Salvage & Auto","NFA","1124 N PACIFIC AVE","KELSO","98626","Cowlitz","Southwest","Southwest","46.15289","-122.91011","0.5","$198,695.00","","","","False","Lead","","","Remediated-Below","","",""
"3111","74599527","TERRYS SALVAGE","Terrys Salvage & Auto","NFA","1124 N PACIFIC AVE","KELSO","98626","Cowlitz","Southwest","Southwest","46.15289","-122.91011","0.5","$198,695.00","","","","False","Mercury","","","Remediated-Below","","",""
"3111","74599527","TERRYS SALVAGE","Terrys Salvage & Auto","NFA","1124 N PACIFIC AVE","KELSO","98626","Cowlitz","Southwest","Southwest","46.15289","-122.91011","0.5","$198,695.00","","","","False","Metals - Other","","","Remediated-Below","","",""
"3111","74599527","TERRYS SALVAGE","Terrys Salvage & Auto","NFA","1124 N PACIFIC AVE","KELSO","98626","Cowlitz","Southwest","Southwest","46.15289","-122.91011","0.5","$198,695.00","","","","False","Metals Priority Pollutants","Remediated-Below","Remediated-Below","Remediated-Below","","Below Cleanup Levels",""
"3111","74599527","TERRYS SALVAGE","Terrys Salvage & Auto","NFA","1124 N PACIFIC AVE","KELSO","98626","Cowlitz","Southwest","Southwest","46.15289","-122.91011","0.5","$198,695.00","","","","False","Petroleum Products-Unspecified","Below Cleanup Levels","Below Cleanup Levels","Remediated-Below","","Remediated-Below",""
"3111","74599527","TERRYS SALVAGE","Terrys Salvage & Auto","NFA","1124 N PACIFIC AVE","KELSO","98626","Cowlitz","Southwest","Southwest","46.15289","-122.91011","0.5","$198,695.00","","","","False","Petroleum-Diesel","","","Remediated-Below","","",""
"3111","74599527","TERRYS SALVAGE","Terrys Salvage & Auto","NFA","1124 N PACIFIC AVE","KELSO","98626","Cowlitz","Southwest","Southwest","46.15289","-122.91011","0.5","$198,695.00","","","","False","Polychlorinated biPhenyls (PCB)","","","Remediated-Below","","",""
"3111","74599527","TERRYS SALVAGE","Terrys Salvage & Auto","NFA","1124 N PACIFIC AVE","KELSO","98626","Cowlitz","Southwest","Southwest","46.15289","-122.91011","0.5","$198,695.00","","","","False","Polycyclic Aromatic Hydrocarbons","","","Remediated-Below","","",""
"11","813","American Silicon Technologies","Lincoln Cnty Public Works Dept,SILICON METALTECH INC","Cleanup Started","100 S 4TH ST","ROCK ISLAND","98850","Douglas","Central","Central","47.36985","-120.13979","65","$320,000.00","","","","False","Asbestos","","","Confirmed Above Cleanup Levels","","",""
"11","813","American Silicon Technologies","Lincoln Cnty Public Works Dept,SILICON METALTECH INC","Cleanup Started","100 S 4TH ST","ROCK ISLAND","98850","Douglas","Central","Central","47.36985","-120.13979","65","$320,000.00","","","","False","Halogenated Organics","","","Confirmed Above Cleanup Levels","","",""
"11","813","American Silicon Technologies","Lincoln Cnty Public Works Dept,SILICON METALTECH INC","Cleanup Started","100 S 4TH ST","ROCK ISLAND","98850","Douglas","Central","Central","47.36985","-120.13979","65","$320,000.00","","","","False","Mercury","","","Confirmed Above Cleanup Levels","","",""
"11","813","American Silicon Technologies","Lincoln Cnty Public Works Dept,SILICON METALTECH INC","Cleanup Started","100 S 4TH ST","ROCK ISLAND","98850","Douglas","Central","Central","47.36985","-120.13979","65","$320,000.00","","","","False","Metals - Other","","","Suspected","","",""
"11","813","American Silicon Technologies","Lincoln Cnty Public Works Dept,SILICON METALTECH INC","Cleanup Started","100 S 4TH ST","ROCK ISLAND","98850","Douglas","Central","Central","47.36985","-120.13979","65","$320,000.00","","","","False","Polychlorinated biPhenyls (PCB)","","","Suspected","","",""
"14767","59883","Marr Property","","Awaiting Cleanup","400 Block 9th St NE","East Wenatchee","98802","Douglas","Central","Central","47.419480791086","-120.283879900032","2.3","$500,000.00","","","","False","Arsenic","","","Confirmed Above Cleanup Levels","","",""
"14767","59883","Marr Property","","Awaiting Cleanup","400 Block 9th St NE","East Wenatchee","98802","Douglas","Central","Central","47.419480791086","-120.283879900032","2.3","$500,000.00","","","","False","Lead","","","Confirmed Above Cleanup Levels","","",""
"1985","579","Pasco Bulk Fuel Terminal Site","PORT OF PASCO","CC-Perf. Monitoring","AINSWORTH & W 9TH","PASCO","99301","Franklin","Eastern","Eastern","46.22351","-119.09912","50","$200,000.00","","","","False","Arsenic","Confirmed Above Cleanup Levels","","","","",""
"1985","579","Pasco Bulk Fuel Terminal Site","PORT OF PASCO","CC-Perf. Monitoring","AINSWORTH & W 9TH","PASCO","99301","Franklin","Eastern","Eastern","46.22351","-119.09912","50","$200,000.00","","","","False","Base/Neutral/Acid Organics","","Suspected","","","",""
"1985","579","Pasco Bulk Fuel Terminal Site","PORT OF PASCO","CC-Perf. Monitoring","AINSWORTH & W 9TH","PASCO","99301","Franklin","Eastern","Eastern","46.22351","-119.09912","50","$200,000.00","","","","False","Halogenated Organics","Confirmed Above Cleanup Levels","Suspected","Confirmed Above Cleanup Levels","","",""
"1985","579","Pasco Bulk Fuel Terminal Site","PORT OF PASCO","CC-Perf. Monitoring","AINSWORTH & W 9TH","PASCO","99301","Franklin","Eastern","Eastern","46.22351","-119.09912","50","$200,000.00","","","","False","Lead","Confirmed Above Cleanup Levels","","","","",""
"1985","579","Pasco Bulk Fuel Terminal Site","PORT OF PASCO","CC-Perf. Monitoring","AINSWORTH & W 9TH","PASCO","99301","Franklin","Eastern","Eastern","46.22351","-119.09912","50","$200,000.00","","","","False","Metals Priority Pollutants","","Suspected","Below Cleanup Levels","","",""
"1985","579","Pasco Bulk Fuel Terminal Site","PORT OF PASCO","CC-Perf. Monitoring","AINSWORTH & W 9TH","PASCO","99301","Franklin","Eastern","Eastern","46.22351","-119.09912","50","$200,000.00","","","","False","Non-Halogenated Solvents","Confirmed Above Cleanup Levels","","Confirmed Above Cleanup Levels","","",""
"1985","579","Pasco Bulk Fuel Terminal Site","PORT OF PASCO","CC-Perf. Monitoring","AINSWORTH & W 9TH","PASCO","99301","Franklin","Eastern","Eastern","46.22351","-119.09912","50","$200,000.00","","","","False","Pesticides-Unspecified","","","Below Cleanup Levels","","",""
"1985","579","Pasco Bulk Fuel Terminal Site","PORT OF PASCO","CC-Perf. Monitoring","AINSWORTH & W 9TH","PASCO","99301","Franklin","Eastern","Eastern","46.22351","-119.09912","50","$200,000.00","","","","False","Petroleum Products-Unspecified","Confirmed Above Cleanup Levels","Confirmed Above Cleanup Levels","Confirmed Above Cleanup Levels","","",""
"1985","579","Pasco Bulk Fuel Terminal Site","PORT OF PASCO","CC-Perf. Monitoring","AINSWORTH & W 9TH","PASCO","99301","Franklin","Eastern","Eastern","46.22351","-119.09912","50","$200,000.00","","","","False","Polychlorinated biPhenyls (PCB)","","","Below Cleanup Levels","","",""
"1985","579","Pasco Bulk Fuel Terminal Site","PORT OF PASCO","CC-Perf. Monitoring","AINSWORTH & W 9TH","PASCO","99301","Franklin","Eastern","Eastern","46.22351","-119.09912","50","$200,000.00","","","","False","Polycyclic Aromatic Hydrocarbons","Confirmed Above Cleanup Levels","Suspected","Below Cleanup Levels","","",""
"2803","2472930","PAKONEN BOATYARD","","Cleanup Started","700 Block of HWY 101","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.97239","-123.80196","5.2","$276,450.00","","","","False","Mercury","","","","Confirmed Above Cleanup Levels","",""
"2803","2472930","PAKONEN BOATYARD","","Cleanup Started","700 Block of HWY 101","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.97239","-123.80196","5.2","$276,450.00","","","","False","Metals - Other","","","","Confirmed Above Cleanup Levels","",""
"2803","2472930","PAKONEN BOATYARD","","Cleanup Started","700 Block of HWY 101","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.97239","-123.80196","5.2","$276,450.00","","","","False","Other Halogenated Organics","","","","Confirmed Above Cleanup Levels","",""
"2803","2472930","PAKONEN BOATYARD","","Cleanup Started","700 Block of HWY 101","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.97239","-123.80196","5.2","$276,450.00","","","","False","Other Non-Halogenated Organics","","","","Confirmed Above Cleanup Levels","",""
"2803","2472930","PAKONEN BOATYARD","","Cleanup Started","700 Block of HWY 101","ABERDEEN","98520","Grays Harbor","Southwest","Southwest","46.97239","-123.80196","5.2","$276,450.00","","","","False","Polycyclic Aromatic Hydrocarbons","","","","Confirmed Above Cleanup Levels","",""
