YEAR,STATELABEL,POPULATION,GISJOIN,STAB
1920,Alabama,2348174,10,AL
1920,Arizona,334162,40,AZ
1920,Arkansas,1752204,50,AR
1920,California,3426861,60,CA
1920,Colorado,939629,80,CO
1920,Connecticut,1380631,90,CT
1920,Delaware,223003,100,DE
1920,District Of Columbia,437571,110,DC
1920,Florida,968470,120,FL
1920,Georgia,2895832,130,GA
1920,Idaho,431866,160,ID
1920,Illinois,6485280,170,IL
1920,Indiana,2930390,180,IN
1920,Iowa,2404021,190,IA
1920,Kansas,1769257,200,KS
1920,Kentucky,2416630,210,KY
1920,Louisiana,1798509,220,LA
1920,Maine,768014,230,ME
1920,Maryland,1449661,240,MD
1920,Massachusetts,3852356,250,MA
1920,Michigan,3668412,260,MI
1920,Minnesota,2387125,270,MN
1920,Mississippi,1790618,280,MS
1920,Missouri,3404055,290,MO
1920,Montana,548889,300,MT
1920,Nebraska,1296372,310,NE
1920,Nevada,77407,320,NV
1920,New Hampshire,443083,330,NH
1920,New Jersey,3155900,340,NJ
1920,New Mexico,360350,350,NM
1920,New York,10385228,360,NY
1920,North Carolina,2559123,370,NC
1920,North Dakota,646872,380,ND
1920,Ohio,5759394,390,OH
1920,Oklahoma,2028283,400,OK
1920,Oregon,783389,410,OR
1920,Pennsylvania,8720018,420,PA
1920,Rhode Island,604397,440,RI
1920,South Carolina,1683724,450,SC
1920,South Dakota,636547,460,SD
1920,Tennessee,2337885,470,TN
1920,Texass,4663228,480,TX
1920,Utah,449396,490,UT
1920,Vermont,352428,500,VT
1920,Virginia,2309187,510,VA
1920,Washington,1356621,530,WA
1920,West Virginia,1463701,540,WV
1920,Wisconsin,2632067,550,WI
1920,Wyoming,194402,560,WY
